STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140502,3,-9999,0,206,100,46
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140503,0,-9999,0,194,100,38
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140504,0,-9999,0,167,100,72
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140505,0,-9999,0,189,100,61
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140506,0,-9999,0,178,83,45
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140507,0,-9999,0,206,83,43
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140508,0,-9999,0,167,89,29
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140509,0,-9999,0,150,100,19
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140510,86,-9999,0,267,139,52
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140511,0,-9999,0,267,167,53
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140512,0,0,0,294,111,49
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140513,0,0,0,111,78,47
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140514,0,0,0,172,78,41
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140515,0,0,0,250,139,39
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140516,15,0,0,228,150,62
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140517,165,0,0,239,144,57
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140518,0,0,0,172,111,41
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140519,13,-9999,0,200,111,59
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140520,0,-9999,0,206,117,42
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140521,0,-9999,0,183,111,33
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140522,64,-9999,0,150,106,34
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140523,5,0,0,139,111,38
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140524,46,-9999,0,161,111,36
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140525,0,-9999,0,189,111,31
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140526,3,0,0,261,128,54
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140527,122,-9999,0,233,100,51
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140528,20,0,0,100,67,67
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140529,0,0,0,144,61,34
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140530,28,0,0,189,89,36
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140531,0,0,0,156,111,43
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140601,0,-9999,0,189,106,36
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140602,0,-9999,0,283,133,40
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140603,0,-9999,0,222,139,47
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140604,36,-9999,0,156,128,28
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140605,198,-9999,0,156,139,32
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140606,0,-9999,0,244,139,49
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140607,0,-9999,0,267,161,37
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140608,0,-9999,0,272,194,35
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140609,0,-9999,0,272,189,49
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140610,216,-9999,0,261,150,39
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140611,0,-9999,0,172,144,43
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140612,0,-9999,0,189,150,51
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140613,137,-9999,0,178,150,43
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140614,3,-9999,0,250,144,34
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140615,0,-9999,0,267,144,55
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140616,0,-9999,0,228,167,45
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140617,5,-9999,0,289,167,50
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140618,0,-9999,0,306,200,64
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140619,0,-9999,0,289,194,48
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140620,0,-9999,0,250,161,52
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140621,0,-9999,0,239,139,31
GHCND:USW00014739,BOSTON LOGAN INTERNATIONAL AIRPORT MA US,20140622,0,-9999,0,217,150,35
